title,company,location,salary_min,salary_max,salary_is_predicted,created,category,description,has_salary_data,extracted_skills
Salesforce Data Analyst (m/w/d),FERCHAU – Connecting People and Technologies,"Gummersbach, Oberbergischer Kreis",,,0,2026-07-08T11:15:26Z,Unknown,"MAKE THE DIFFERENCE - join our team! In unserem Headquarter in Gummersbach gestalten wir das interne Service- und Beratungsangebot für alle Prozesse der Unternehmensgruppe der FERCHAU und dafür suchen wir dich: als Teil unseres internen Teams. Unsere Kernkompetenzen sind strategische Aufgaben und Leistungen aus den Bereichen Personal, Finanzen & Administration, Digital Business Transformation sowie Marketing. Wenn du also deine eigenen Skills in einem innovativen Umfeld auf das nächste Level he…",False,[]
Data Analyst (M/W/D) Procurement,KNDS Deutschland,"Bad Wilhelmshöhe, Kassel",,,0,2026-07-01T12:05:07Z,Unknown,"Unternehmensbeschreibung KNDS Deutschland entwickelt, fertigt und betreut als Systemhaus ein breit gestreutes Produktportfolio. Dazu zählen Kampfpanzer, hochgeschützte Radfahrzeuge, Artilleriesysteme, Militärbrücken, Kundenservice sowie Ausbildungslösungen. Als Teil der KNDS-Gruppe stehen wir für den Beginn der Konsolidierung der Industrie für militärische Landsysteme in Europa. Dabei bieten wir hochinteressante, komplexe und herausfordernde Tätigkeiten in einem kollegialen Umfeld. Das schätzen…",False,[]
Data Analyst (M/W/D) Procurement,KNDS Deutschland,"Harleshausen, Kassel",,,0,2026-07-01T12:05:07Z,Unknown,"Unternehmensbeschreibung KNDS Deutschland entwickelt, fertigt und betreut als Systemhaus ein breit gestreutes Produktportfolio. Dazu zählen Kampfpanzer, hochgeschützte Radfahrzeuge, Artilleriesysteme, Militärbrücken, Kundenservice sowie Ausbildungslösungen. Als Teil der KNDS-Gruppe stehen wir für den Beginn der Konsolidierung der Industrie für militärische Landsysteme in Europa. Dabei bieten wir hochinteressante, komplexe und herausfordernde Tätigkeiten in einem kollegialen Umfeld. Das schätzen…",False,[]
Data Analyst (M/W/D) Procurement,KNDS Deutschland,"Bettenhausen, Kassel",,,0,2026-07-01T12:05:18Z,Unknown,"Unternehmensbeschreibung KNDS Deutschland entwickelt, fertigt und betreut als Systemhaus ein breit gestreutes Produktportfolio. Dazu zählen Kampfpanzer, hochgeschützte Radfahrzeuge, Artilleriesysteme, Militärbrücken, Kundenservice sowie Ausbildungslösungen. Als Teil der KNDS-Gruppe stehen wir für den Beginn der Konsolidierung der Industrie für militärische Landsysteme in Europa. Dabei bieten wir hochinteressante, komplexe und herausfordernde Tätigkeiten in einem kollegialen Umfeld. Das schätzen…",False,[]
Data Analyst (M/W/D) Procurement,KNDS Deutschland,"Niederzwehren, Kassel",,,0,2026-07-01T12:04:50Z,Unknown,"Unternehmensbeschreibung KNDS Deutschland entwickelt, fertigt und betreut als Systemhaus ein breit gestreutes Produktportfolio. Dazu zählen Kampfpanzer, hochgeschützte Radfahrzeuge, Artilleriesysteme, Militärbrücken, Kundenservice sowie Ausbildungslösungen. Als Teil der KNDS-Gruppe stehen wir für den Beginn der Konsolidierung der Industrie für militärische Landsysteme in Europa. Dabei bieten wir hochinteressante, komplexe und herausfordernde Tätigkeiten in einem kollegialen Umfeld. Das schätzen…",False,[]
Data Analyst (M/W/D) Procurement,KNDS Deutschland,"Fasanenhof, Kassel",,,0,2026-07-01T12:05:17Z,Unknown,"Unternehmensbeschreibung KNDS Deutschland entwickelt, fertigt und betreut als Systemhaus ein breit gestreutes Produktportfolio. Dazu zählen Kampfpanzer, hochgeschützte Radfahrzeuge, Artilleriesysteme, Militärbrücken, Kundenservice sowie Ausbildungslösungen. Als Teil der KNDS-Gruppe stehen wir für den Beginn der Konsolidierung der Industrie für militärische Landsysteme in Europa. Dabei bieten wir hochinteressante, komplexe und herausfordernde Tätigkeiten in einem kollegialen Umfeld. Das schätzen…",False,[]
Data Analyst (M/W/D) Procurement,KNDS Deutschland,"Mitte, Kassel",,,0,2026-07-01T12:04:58Z,Unknown,"Unternehmensbeschreibung KNDS Deutschland entwickelt, fertigt und betreut als Systemhaus ein breit gestreutes Produktportfolio. Dazu zählen Kampfpanzer, hochgeschützte Radfahrzeuge, Artilleriesysteme, Militärbrücken, Kundenservice sowie Ausbildungslösungen. Als Teil der KNDS-Gruppe stehen wir für den Beginn der Konsolidierung der Industrie für militärische Landsysteme in Europa. Dabei bieten wir hochinteressante, komplexe und herausfordernde Tätigkeiten in einem kollegialen Umfeld. Das schätzen…",False,[]
Data Analyst (M/W/D) Procurement,KNDS Deutschland,"Am Sandkopf, Kassel (Kreis)",,,0,2026-07-01T12:05:02Z,Unknown,"Unternehmensbeschreibung KNDS Deutschland entwickelt, fertigt und betreut als Systemhaus ein breit gestreutes Produktportfolio. Dazu zählen Kampfpanzer, hochgeschützte Radfahrzeuge, Artilleriesysteme, Militärbrücken, Kundenservice sowie Ausbildungslösungen. Als Teil der KNDS-Gruppe stehen wir für den Beginn der Konsolidierung der Industrie für militärische Landsysteme in Europa. Dabei bieten wir hochinteressante, komplexe und herausfordernde Tätigkeiten in einem kollegialen Umfeld. Das schätzen…",False,[]
Data Analyst Netzwirtschaft (m/w/d),Lechwerke AG,"Augsburg, Augsburg (Kreis)",,,0,2026-07-08T23:39:18Z,IT-Stellen,"Die LEW Verteilnetz GmbH sorgt als regionaler Verteilnetzbetreiber für den sicheren Betrieb unseres rund 36.000 Kilometer langen Stromnetzes. Wir treiben den massiven Um- und Ausbau des Stromverteilnetzes mit hohen Investitionen und innovativen Lösungen voran. So machen wir eine klimafreundliche Energiezukunft für unsere Region möglich. Unser Team betreut zentrale IT-Systeme, Portale und Anwendungen der LVN und macht deren Daten für Analyse, Reporting und Steuerung nutzbar. Zudem setzen wir Aut…",False,[]
Sustainability Data Analyst (f/m/d),Techtronic Industries ELC GmbH,"Birkachhof, Ludwigsburg (Kreis)",,,0,2026-06-19T20:10:50Z,Unknown,"Techtronic Industries (TTI) is a world leader in cordless technology spanning power tools, accessories, hand tools, outdoor power equipment, as well as floorcare and cleaning products. Our focus is on end-users that range from professionals in the industrial, construction and infrastructure sectors to DIYers in home improvement, repair, and maintenance. TTI’s powerful brand portfolio includes MILWAUKEE®, RYOBI®, AEG® – recognized worldwide for their deep heritage and innovative product platform…",False,[]
